#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_01-00,,,,,,,,,,,
,0,1001,,,,,,,,0,0,4,,“哇，好特殊的味道。”,0
,0,1002,,,,,,,,,,4,我,“虽然稍微有点苦，但味道确实很香。”,0
,0,1003,,,,,,,,,,4,我,“很棒的味道，之后会再来试试的。”,0
,0,1004,,,,,,,,,,4,我,“哈哈，您喜欢就好”,0
,0,1005,,,,,,,,1,2,0,,“镇上之前没有咖啡馆，我还担心大家会喝不惯，看来是我多虑了。”,0
,0,1006,,,,,,,,,,4,我,“来，找您的钱。欢迎下次光临。”,0
,0,1007,,,,,,,,,,4,我,今天的咖啡馆也依然干净整洁。,0
,0,1008,,,,,,,,,,4,我,新买的沙发摆在店口，阳光从窗口照进屋，旁边的花草让室内看着不那么庄重，反而增加了一丝生活的气息,0
,0,1009,,,,,,,,,,4,我,“吊灯选了这种圆的还真是选对了，确实好看。”,0
,0,1010,,,,,,,,1,2,0,,“今天看样子，应该也快没人来了，都这点了。”,0
,0,1011,,,,,,,,,,4,我,“收拾收拾准备打烊了吧。”,0
,0,1012,,,,,,,,,,4,我,我站起身，去门口把【open】的牌子翻过来。,0
,0,1013,,,,,,,,,,4,我,“······嗯？”,0
,0,1014,,,,,,,,,,4,我,顺着门口，我看见了一位少女。,0
,0,1015,,,,,,,,,,4,我,穿着打扮跟这种小镇完全不合，用一种淡然的眼神看向这边，散发着与年龄截然相反的气质。,0
,0,1016,,,,,,,,,,4,我,“你好？有什么事吗？”,0
,0,1017,,,,,,,,,,4,我,少女一惊，头也不回的逃走了。,0
,0,1018,,,,,,,,,,4,我,“嗯？我难道长得很恐怖吗？”,0
,0,1019,,,,,,,,,,4,我,“算了，正好快晚上了，收拾一下上楼休息了。”,0
