#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
#,,,,Chapter_01-00,,,,,,,,,,,
,0,1001,,,,,,,,0,0,4,,“嗯···应该也快来了。”,0
,0,1002,,,,,,,,,,4,我,“今天先打烊，等等看吧。”,0
,0,1003,,,,,,,,,,4,我,我关上了店门，把门口牌子翻到了【close】，坐回吧台开始休息。,0
,0,1004,,,,,,,,,,4,我,叮铃叮铃铃~,0
,0,1005,,,,,,,,1,2,0,,“来了。”,0
,0,1006,,,,,,,,,,4,我,我打开门，父母站在店门口，旁边带着一个小女孩。,0
,0,1007,,,,,,,,,,4,我,嗯？,0
,0,1008,,,,,,,,,,4,我,这孩子我之前是不是见过？,0
,0,1009,,,,,,,,1,2,0,,“下班了？”,0
,0,1010,,,,,,,,,,4,我,“辛苦了，又忙一天。”,0
,0,1011,,,,,,,,,,4,我,“还好还好，店里还是一如既往，没什么人。”,0
,0,1012,,,,,,,,,,4,我,“赶快进来吧。”,0
,0,1013,,,,,,,,,,4,我,寒暄过后，我带着父母和那个孩子走进店里，在沙发那边坐下。,0
,0,1014,,,,,,,,,,4,我,“对了，你们第一次来，我给你们尝尝我做的咖啡吧。”,0
