#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
#,,,,Chapter_01-00,,,,,,,,,,,
,0,1001,,,,,,,,0,0,4,,我把刚做好的咖啡给双亲端了过去。,0
,0,1002,,,,,,,,,,4,我,对了，咖啡对小孩子身体不好，给她喝点可可吧。,0
,0,1003,,,,,,,,,,4,我,放下三杯饮料，我坐回对面。,0
,0,1004,,,,,,,,,,4,我,“孩子那边我给接了杯可可，咖啡对小孩子的身体还是不太好。”,0
,0,1005,,,,,,,,1,2,0,,“尝尝味道吧，也看看和不和你们的口味。”,0
,0,1006,,,,,,,,,,4,我,“不错啊这个味道，看来让你开店是对了。”,0
,0,1007,,,,,,,,,,4,我,“你爸天天惦记找个理由过来喝点东西呢，每次都说儿子的店自己不好意思进来·······”,0
,0,1008,,,,,,,,,,4,我,“咳咳，说正事吧。”,0
,0,1009,,,,,,,,1,2,0,,“来爱丽丝，也打声招呼吧。”,0
,0,1010,,,,,,,,,,4,我,“你······你好，我叫······我叫爱丽丝。”,0
,0,1011,,,,,,,,,,4,我,“孩子还小，又比较怕生，我和你妈平时也忙，没啥时间照顾。”,0
,0,1012,,,,,,,,,,4,我,“就让这孩子现在你店里待一阵，等我和你妈放假了再接回去住。”,0
,0,1013,,,,,,,,,,4,我,“好啊，没问题，我这也不是特别忙，照顾个孩子还是没问题的。”,0
,0,1014,,,,,,,,,,4,我,“请多关照啦。”,0
,0,1015,,,,,,,,,,,,“请多······请多关照。”,
,0,1016,,,,,,,,,,,,我对着爱丽丝浅浅的微笑了一下，尽量让自己显得不那么奇怪。,
,0,1017,,,,,,,,,,,,希望这孩子不要把我当成怪叔叔。,
,0,1018,,,,,,,,,,,,“行，那今天就先收拾一下吧，让她先在你这边看看。”,
,0,1019,,,,,,,,,,,,“我和你爸明天还要去上班，等会收拾完就先走了。”,
,0,1020,,,,,,,,,,,,“行，我都可以的。”,
,0,1021,,,,,,,,,,,,“爱丽丝，今天就先在这边住可以吗？”,
,0,1022,,,,,,,,,,,,“店里二楼应该还有一个空房间，床什么的也都还在，铺上被褥就可以用。”,
,0,1023,,,,,,,,,,,,“好的，爱丽丝，没问题的。”,
,0,1024,,,,,,,,,,,,“那好，那我就先去收拾一下了，你俩也等会再走吧。”,
,0,1025,,,,,,,,,,,,“行，你先去吧。”,
,0,1026,,,,,,,,,,,,两个小时之后，我收拾完了屋子。,
,0,1027,,,,,,,,,,,,我走下楼，看见父母和爱丽丝仍然坐在那边。,
,0,1028,,,,,,,,,,,,双亲有说有笑的与爱丽丝聊天，但爱丽丝却还是不怎么爱说话，仿佛在害怕些什么。,
,0,1029,,,,,,,,,,,,“······”,
,0,1030,,,,,,,,,,,,这孩子之前难道发生过什么嘛？,
,0,1031,,,,,,,,,,,,算了，等之后再问问吧。,
,0,1032,,,,,,,,,,,,我回到楼下，跟父母又闲聊了几句。,
,0,1033,,,,,,,,,,,,时间一长，父母要回去了的时候，我起身送走他俩，店里转眼之间只剩下我和爱丽丝两个人。,
,1,1034,,,,,,,,,,,,带爱丽丝上楼。,1036
,1,1035,,,,,,,,,,,,在店里再待一会儿。,1038
#,选项1,,,,,,,,,,,,,,
,0,1036,,,,,,,,,,,,“那个，上面房间已经收拾的差不多了，你等会上去看一下吧。”,
,0,1037,,,,,,,,,,,,好······好的。,1046
#,选项2,,,,,,,,,,,,,,
,0,1038,,,,,,,,,,,,“那个，房间收拾的差不多了，等会已经可以去休息了。”,
,0,1039,,,,,,,,,,,,“不过要是紧张的话，也可以在下面再待一阵子。”,
,0,1040,,,,,,,,,,,,“放心，我不会勉强你的，放轻松就好。”,
,0,1041,,,,,,,,,,,,“把这里当成自己家待着吧。”,
,0,1042,,,,,,,,,,,,！,
,0,1043,,,,,,,,,,,,“好······好的！爱丽丝，会努力的。”,
,0,1044,,,,,,,,,,,,“已经可以了，可以去房间看看吗？”,
,0,1045,,,,,,,,,,,,“当然，跟我来。”,1046
#,结尾,,,,,,,,,,,,,,
,0,1046,,,,,,,,,,,,于是我带着爱丽丝来到二楼，来到她的房间门口。,
,0,1047,,,,,,,,,,,,这就是爱丽丝的房间了，虽然现在只是草草收拾了一下，之后挑个时间把剩下的东西买了吧。,
,0,1048,,,,,,,,,,,,“xie（小声）”,
,0,1049,,,,,,,,,,,,“嗯？怎么了？”,
,0,1050,,,,,,,,,,,,“谢！谢谢您！”,
,0,1051,,,,,,,,,,,,“哈哈，不客气，你也准备准备吧，好好休息。”,
