#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
#,,,,Chapter_01-00,,,,,,,,,,,
,0,1001,,,,,,,,0,0,4,,就这样又过了几天，店里每天来的人还是不太多。,0
,0,1002,,,,,,,,,,4,我,“看来咖啡对镇上来说还是个新奇物件啊。”,0
,0,1003,,,,,,,,,,4,我,“唉，只能说不愧是小镇吧。”,0
,0,1004,,,,,,,,,,4,我,“倒是那天见到的孩子，总觉得有哪里怪怪的。”,0
,0,1005,,,,,,,,1,2,0,,叮铃铃铃铃············,0
,0,1006,,,,,,,,,,4,我,“嗯？这个时候来电话？”,0
,0,1007,,,,,,,,,,4,我,“喂，妈，怎么了吗？”,0
,0,1008,,,,,,,,,,4,我,“没事，看看你干嘛呢，在工作吗？”,0
,0,1009,,,,,,,,,,4,我,“对啊，虽然店里这会儿没啥客人就是了。”,0
,0,1010,,,,,,,,1,2,0,,“所以说暂时还比较闲。”,0
,0,1011,,,,,,,,,,4,我,“你爸一个亲戚，最近那边家里有些变故，他们家的孩子暂时交给我俩照顾了。”,0
,0,1012,,,,,,,,,,4,我,“我俩一想，你那个店里反正也就你自己，不如让这孩子去帮帮忙吧，我俩也比较忙。”,0
,0,1013,,,,,,,,,,4,我,“啊？多大的孩子啊？”,0
,0,1014,,,,,,,,,,4,我,“十多岁，一个小女孩。”,0
,0,1015,,,,,,,,,,4,我,“啊？这个年纪不用上学的吗？”,0
,0,1016,,,,,,,,,,4,我,“嘛，那边家里发生了不少事情，还是让孩子先休息一下吧。”,0
,0,1017,,,,,,,,,,4,我,“小姑娘还是挺懂事的，来了之后还会帮我俩做家务呢。”,0
,0,1018,,,,,,,,,,4,我,我俩也没啥意思，主要看你咋想。,0
,1,1019,,,,,,,,,,5,我,答应照顾孩子。,1021
,1,1020,,,,,,,,,,6,我,委婉拒绝。,1023
#,选项一分隔,,,,,,,,,,,,我,,
,0,1021,,,,,,,,,,,我,“好啊，店里多个人我也开心。”,
,0,1022,,,,,,,,,,,我,“不至于那么冷清了。”,1028
#,选项二分隔,,,,,,,,,,,,我,,
,0,1023,,,,,,,,,,,我,“还是算了吧，十岁的孩子我也不会照顾啊。”,
,0,1024,,,,,,,,,,,我,“而且店里还忙得过来，不是很需要帮手了。”,
,0,1025,,,,,,,,,,,我,“行了，我和你爸也没什么时间，你就当店里多个人，帮忙照看一下就行。”,
,0,1026,,,,,,,,,,,我,“也不算什么小孩，耽误不了你什么事。”,
,0,1027,,,,,,,,,,,我,“行吧，反正店里也还有空房间，住个人还是没问题的。那你俩带过来吧。”,1028
#,通用分隔,,,,,,,,,,,,我,,
,0,1028,,,,,,,,,,,我,“那行，那就下午我和你爸带孩子过去吧。”,
,0,1029,,,,,,,,,,,我,“也给你俩介绍介绍。”,
,0,1030,,,,,,,,,,,我,“行，那下午见喽。”,1031
#,继续分隔,,,,,,,,,,,,我,,
,0,1031,,,,,,,,,,,我,“嘛，继续工作吧。”,
,0,1032,,,,,,,,,,,我,“啊，欢迎光临！”,
