3,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
#,,,,Chapter_01_03_Midnight,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Midnight,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,ピカピカに磨かれた床を見て、私は再びアリスの素晴らしい家事能力を実感した。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,いっそのこと、彼女に手伝ってもらえないか聞いてみよう。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,私は立ち上がり、アリスの部屋のドアをノックした。,0
,0,1005,0,0,0,0,0,0,0,0,0,4,店長,「アリス、まだ起きてる？」,0
,0,1006,0,0,0,0,0,0,0,0,0,4,,アリスがドアを開けて顔を少し覗かせた。,0
,4,1007,,,,,,,,,,,,BGM/night_bgm,0
,0,1008,0,0,0,Cat,2,0,0,0,0,4,アリス,「店長さん、どうしましたか？」,0
,0,1009,0,0,0,Cat,2,0,0,0,0,4,,私は息をついて、アリスの気持ちを聞くことにした。,0
,0,1010,0,0,0,Cat,2,0,0,0,0,4,店長,「明日、店でウェイトレスをやってみるのはどうかな？」,0
,0,1011,0,0,0,0,0,0,0,0,0,4,,アリスはずっと俯いたまま、しばらく何も答えなかった。,0
,0,1012,0,0,0,0,0,0,0,0,0,4,店長,「あ、いや、深い意味はないよ。ただ、今日君が床を掃除したり、コップを洗ったりするのを見て、とても上手だと思ったから。」,0
,0,1013,0,0,0,0,0,0,0,0,0,4,店長,「それで、君が手伝ってくれるのはどうかなって。」,0
,0,1014,0,0,0,Cat,4,0,0,0,0,4,アリス,「……」,0
,0,1015,0,0,0,Cat,4,0,0,0,0,4,店長,「あ、ごめん、無理なお願いだよね。聞かなかったことにして。」,0
,0,1016,0,0,0,Cat,4,2,0,0,0,4,アリス,「……いえ、」,0
,0,1017,0,0,0,Cat,4,2,0,0,0,4,アリス,「違います！」,0
,0,1018,0,0,0,Cat,1,0,0,0,0,4,アリス,「アリス、手伝えることがあるならすごく……すごく嬉しいです！」,0
,0,1019,0,0,0,Cat,0,0,0,0,0,4,店長,「！」,0
,0,1020,0,0,0,Cat,0,0,0,0,0,4,店長,「よし！決まりだね！君の助けを楽しみにしてるよ！」,0
,0,1021,0,0,0,Cat,0,0,0,0,0,4,店長,「何か困ったことがあったらすぐに聞いてね。緊張しなくていいから。」,0
,0,1022,0,0,0,Cat,1,0,0,0,0,4,,アリスはそれ以上何も言わず、ただ私を見て、ほんのり微笑んだ。,0
,0,1023,0,0,0,Cat,0,0,0,0,0,4,アリス,「はい！よろこんで！」,0
,0,1024,0,0,0,0,0,0,0,0,0,4,,こうして、アリスは明日店を手伝うことを決めた。,0
