#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
#,,,,Chapter_01_03_afterwork,,,,,,,,,,,
,4,1000,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,2,1001,0,0,0,0,0,0,0,0,0,0,0,Afternoon,0
,0,1002,0,0,0,0,0,0,0,0,0,4,店長,「ふう……今日も閉店だ。」,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,閉店後、背伸びをして今日の仕事の終了を告げた。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,店長,「店の掃除をしよう。」,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,私は店を掃除している最中、壁際に立ってこちらをじっと見つめるアリスに気づいた。,0
,0,1006,0,0,0,Cat,4,0,0,0,0,4,,彼女は壁のそばに立って、私をじっと見つめていました,0
,0,1007,0,0,0,Cat,4,0,0,0,0,4,店長,「どうしたの？何か手伝ってほしい？」,0
,0,1008,0,0,0,Cat,4,1,0,0,0,4,アリス,アリス：「ご、ごめんなさい！」,0
,0,1009,0,0,0,Cat,4,0,0,0,0,4,,彼女は慌てて壁際から離れ、2階に駆け上がっていった。,0
,0,1010,0,0,0,0,0,0,0,0,0,4,店長,やばいな…,0
,0,1011,0,0,0,0,0,0,0,0,0,4,,（あれ？私、そんなに怖かったかな……）,0
,0,1012,0,0,0,0,0,0,0,0,0,4,店長,（まあ、掃除を続けよう。）,0
,0,1013,0,0,0,0,0,0,0,0,0,4,,しばらくして、また背後に視線を感じた。,0
,0,1014,0,0,0,Cat,4,0,0,0,0,4,,振り返ると、アリスが再び階段を下りてきて、壁際からこちらを見つめていた。,0
,0,1015,0,0,0,Cat,4,0,0,0,0,4,,,0
,0,1016,0,0,0,Cat,4,0,0,0,0,4,店長,「どうしたの？」,0
,0,1017,0,0,0,Cat,4,0,0,0,0,4,アリス,「！な、なにもないい……」,0
,0,1018,0,0,0,0,0,0,0,0,0,4,,アリスは頭を下げ、顔を真っ赤にして私の頃を見つめた。,0
,0,1019,0,0,0,Cat,3,0,0,0,0,4,アリス,「……（小声）モップ……」,0
,0,1020,0,0,0,Cat,3,0,0,0,0,4,店長,「え？」,0
,0,1021,0,0,0,Cat,4,0,0,0,0,4,,アリスは私を一瞬見つめた後、モップを指差した。,0
,0,1022,0,0,0,Cat,4,1,0,0,0,4,アリス,「私……床を掃除します。」,0
,0,1023,0,0,0,Cat,4,0,0,0,0,4,店長,「！」,0
,0,1024,0,0,0,Cat,4,0,0,0,0,4,,一瞬驚いたが、アリスの申し出に嬉しさを感じた。,0
,0,1025,0,0,0,Cat,4,0,0,0,0,4,店長,「じゃあ、お願いするよ。」,0
,0,1026,0,0,0,Cat,4,0,0,0,0,4,,私はアリスが助けを求めてくることに驚き、感動して思わず微笑みました。,0
,0,1027,0,0,0,Cat,4,0,0,0,0,4,アリス,アリスはモップを手に取り、慣れた手つきで床を掃除し始めた。,0
,0,1028,0,0,0,0,0,0,0,0,0,4,,アリスが掃除を始めた後、私はカウンター周りを片付けることにした。,0
,0,1029,0,0,0,0,0,0,0,0,0,4,,しばらくして、店内の床を見たの時。,0
,0,1030,0,0,0,0,0,0,0,0,0,4,,私は驚いた。,0
,0,1031,0,0,0,0,0,0,0,0,0,4,,床はまるで新品のようにピカピカになっており、光を反射している。,0
,0,1032,0,0,0,0,0,0,0,0,0,4,,それでもアリスはまだ床を拭き続けていた。その動きはとても手慣れていて、明らかに家事に慣れている。,0
,0,1033,0,0,0,0,0,0,0,0,0,4,,私が反応するまでに2、3秒かかりました。,0
,0,1034,0,0,0,0,0,0,0,0,0,4,店長,「アリス、もう十分だよ。これ以上掃除する必要はないよ。」,0
,0,1035,0,0,0,Cat,2,1,0,0,0,4,,アリスは動きを止め、そっとモップを置いて壁際に立った。,0
,0,1036,0,0,0,Cat,2,0,0,0,0,4,アリス,……,0
,0,1037,0,0,0,Cat,2,0,0,0,0,4,,（あれ？なんだか怯えているみたいだな……。）,0
,0,1038,0,0,0,Cat,2,0,0,0,0,4,店長,「お疲れ様。すごくきれいになったね。久しぶりにこんなにピカピカの床を見たよ。」,0
,0,1039,0,0,0,Cat,2,0,0,0,0,4,店長,「アリス、家事がとても上手だね。私よりずっと上手だよ。」,0
,0,1040,0,0,0,Cat,1,0,0,0,0,4,,アリスは少しずつ緊張を解き、表情が和らいだ。,0
