#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_02_02_afterwork,,,,,,,,,,,
,4,1000,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,2,1001,0,0,0,0,0,0,0,0,0,0,0,Afternoon,0
,0,1002,0,0,0,NPC2,0,0,0,0,0,4,おじさん,うーん、なかなかいいね。兄ちゃん、腕がいいじゃないか。,0
,0,1003,0,0,0,NPC2,0,0,0,0,0,4,おじさん,じゃあ、ティラミスを一つ追加でお願い。,0
,0,1004,0,0,0,NPC2,0,0,0,0,0,4,,違和感の正体がわかった。,0
,0,1005,0,0,0,NPC2,0,0,0,0,0,4,店長,あなたは……この町の人ではありませんよね？,0
,0,1006,0,0,0,NPC2,0,0,0,0,0,4,店長,この町の人で、コーヒーやケーキの名前をすぐ言える人はあまりいませんから。,0
,0,1007,0,0,0,NPC2,0,0,0,0,0,4,おじさん,ははは、違うね、坊や。この町の人間だよ。ただ荷物運びの仕事をしていてね。,0
,0,1008,0,0,0,NPC2,0,0,0,0,0,4,おじさん,行ったり来たりが多いから、いろいろ知るようになったんだ。,0
,0,1009,0,0,0,NPC2,0,0,0,0,0,4,タック,スプーンをいただけますか？,0
,0,1010,0,0,0,NPC2,0,0,0,0,0,4,店長,あ、はい。アリス、ごめんだけど、スプーンをお客様に持っていってくれる？ 左手側の棚にあるよ。出すのを忘れちゃった。,0
,0,1011,0,0,0,NPC2,0,0,0,0,0,4,アリス,……,0
,0,1012,0,0,0,NPC2,0,0,0,0,0,4,店長,アリス？,0
,0,1013,Cat,4,0,NPC2,0,0,0,0,0,4,アリス,あっ！すみません、今行きます。,0
,0,1014,0,0,0,NPC2,0,0,Cat,0,0,4,,アリスはスプーンを取り出し、客のところに渡しに行った。,0
,0,1015,0,0,0,NPC2,0,0,Cat,4,2,4,アリス,お……お渡しします、スプーン……,0
,0,1016,0,0,0,NPC2,0,0,Cat,4,0,4,货,はははは！,0
,0,1017,0,0,0,NPC2,0,0,Cat,4,1,4,アリス,！！,0
,0,1018,0,0,0,NPC2,0,0,Cat,4,0,4,,客が突然笑い出し、アリスは驚いてしまった。僕も一瞬固まった。,0
,0,1019,0,0,0,NPC2,0,0,Cat,4,2,4,アリス,！す……すみません、すみません、すみません……,0
,0,1020,0,0,0,NPC2,0,0,Cat,4,0,4,店長,すみません、この子、人見知りなんですけど、何か御用でしょうか？,0
,0,1021,NPC2,0,0,0,0,0,Cat,4,0,4,,僕はアリスを守るように前に出て、この子が怯えないようにした。,0
,0,1022,NPC2,0,0,0,0,0,Cat,4,0,4,タック,ああ、悪かったね、驚かせたかな。ただ、自分の娘を思い出してしまってね。気にしないで。,0
,0,1023,NPC2,0,0,0,0,0,Cat,4,0,4,タック,君はよくやったよ。スプーン、確かに受け取ったよ。ありがとうね。,0
,0,1024,NPC2,4,0,0,0,0,Cat,4,0,4,,その後、このおじさん（？）はアリスに爽やかな笑顔を向けた。,0
,0,1025,NPC2,4,0,0,0,0,Cat,0,0,4,タック,自己紹介しておこうか。俺はタック。この町で運送業をしているんだ。,0
,0,1026,NPC2,4,0,0,0,0,Cat,0,0,4,タック,うちの娘は君と同じくらいの年齢かな。この時間なら……ちょうど起きる頃だろうね。君が知り合いだったら、きっといい友達になれるだろうな。,0
,0,1027,NPC2,0,0,0,0,0,Cat,1,0,4,アリス,う……ありがとうございます。,0
,0,1028,NPC2,0,0,0,0,0,Cat,0,0,4,タック,うん、ケーキも美味しかったよ。この店、普段もこの時間に開いてるのかい？,0
,0,1029,NPC2,0,0,0,0,0,Cat,0,0,4,店長,ああ、いや……うん、うん、普段もこの時間に。,0
,0,1030,NPC2,0,0,0,0,0,Cat,0,0,4,タック,それはいいね。また来るよ。こんなに美味しい店は珍しいからね。,0
,0,1031,NPC2,0,0,0,0,0,Cat,0,0,4,タック,二人ともありがとう。まだ運ぶ荷物があるから、これで失礼するよ。,0
,0,1032,0,0,0,0,0,0,Cat,0,0,4,店長,はい、またのお越しをお待ちしております！,0
,0,1033,0,0,0,0,0,0,Cat,1,0,4,アリス,さようなら、お客様。またいらしてくださいね。,0
