#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_02_RentF,,,,,,,,,,,
,4,1000,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,2,1001,0,0,0,0,0,0,0,0,0,0,0,Morning,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,叮铃铃~,0
,0,1003,0,0,0,0,0,0,0,0,0,4,我,你好，欢迎光临,0
,0,1004,0,0,0,Charother1,0,0,0,0,0,4,男人,早上好，店长,0
,0,1005,0,0,0,Charother1,0,0,0,0,0,4,我,哦，你是上次工作人员是吧，请坐请坐,0
,0,1006,0,0,0,Charother1,0,0,0,0,0,4,男人,不必了，谢谢你的好意,0
,0,1007,0,0,0,Charother1,0,0,0,0,0,4,男人,我只是一介通知人员而已，过来通知一下就完事了,0
,0,1008,0,0,0,Charother1,0,0,0,0,0,4,男人,也不必设什么招待,0
,0,1009,0,0,0,Charother1,0,0,0,0,0,4,男人,这次过来是想跟您说的是，这边已经收到您的款项了,0
,0,1010,0,0,0,Charother1,0,0,0,0,0,4,男人,然后下一次所需要支付的贷款提升了,0
,0,1011,0,0,0,Charother1,0,0,0,0,0,4,男人,下次的贷款将提升至<color=#FF9563><i>1000</i></color>。”,0
,0,1012,0,0,0,Charother1,0,0,0,0,0,4,男人,大概就是这些，如果有什么问题可以再联系我，再会了,0
,0,1013,0,0,0,,0,0,0,0,0,4,,男人跟上次一样，说完后便匆匆离去了,0
,0,1014,0,0,0,,0,0,0,0,0,4,,跟银行业有关的从业人员可真忙啊,0
