#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_03_02_afternoon,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Afternoon,0
,0,1001,0,0,0,0,0,0,0,0,0,4,,我给爱丽丝做了一杯咖啡。,0
,0,1002,0,0,0,0,0,0,0,0,0,4,我,“说起来这孩子，好像还没喝过我做的咖啡。”,0
,0,1003,0,0,0,CatD,4,0,0,0,0,4,,爱丽丝拿起杯子，小小的抿了一口。随后仍然沉默。,0
,0,1004,0,0,0,CatD,3,0,0,0,0,4,,平日里端庄的脸上布满阴沉，眼神颤动着，标志性的白色尾巴也耸拉着，无力地垂下。,0
,0,1005,0,0,0,CatD,3,0,0,0,0,4,,沉重的空气弥漫在咖啡馆内。,0
,0,1006,0,0,0,CatD,3,0,0,0,0,4,我,那个······爱，唉，算了。,0
,0,1007,0,0,0,CatD,3,0,0,0,0,4,,我也不知道怎么说才是正确的，说什么才是正确的。,0
,0,1008,0,0,0,CatD,3,0,0,0,0,4,我,爱丽丝，虽然我们相处的时间蛮短的，到现在也不过就两三个月罢了。,0
,0,1009,0,0,0,CatD,3,0,0,0,0,4,,我只是觉得不能放着不管，仅此而已。,0
,0,1010,0,0,0,CatD,3,0,0,0,0,4,我,但是，没必要太拘束自己，说出来吧。,0
,0,1011,0,0,0,CatD,3,0,0,0,0,4,我,不论你想说什么，我都会听的，只要你愿意说，我一定会的。,0
,0,1012,0,0,0,CatD,2,0,0,0,0,4,我,不要再独自痛苦了，说出来吧。我会永远站在爱丽丝这边的。,0
,0,1013,0,0,0,CatD,4,0,0,0,0,4,我,我希望爱丽丝可以回到之前的样子，能开心的笑出来。,0
,0,1014,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,······店长先生。,0
,0,1015,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,在我很小的时候，家里还是很幸福的。,0
,0,1016,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,爸爸和妈妈平时虽然工作比较忙，但每天都会接我放学，放假的时候也会带我出去玩。,0
,0,1017,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,他们两个从来没有吵过架，是非常温暖的家。,0
,0,1018,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,那时候的我们，真的非常非常非——常的开心。,0
,0,1019,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,但是啊，八岁那年，妈妈过世了。,0
,0,1020,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,之前看着那么健康的妈妈，突然就得了病。,0
,0,1021,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,到最后我也不知道是什么病，只记得妈妈突然就躺在了床上下不了地了。,0
,0,1022,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,没过多长时间，妈妈就走了。,0
,0,1023,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,无论我怎么伤心，妈妈还是走了。,0
,0,1024,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,爸爸呢，从那天之后呐，就完全变了，变得陌生了，不认识了。,0
,0,1025,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,回家的时间越来越晚，也不再和我说话了，不再让我撒娇了。,0
,0,1026,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,休息日的时候，只要稍微发出些声响就会骂我，很大声，很害怕。,0
,0,1027,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,地上的酒瓶罐越来越多，最后没办法，只能全部交给我来收拾。,0
,0,1028,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,最后家里的事情全部堆在一起，我也没再去上学了。,0
,0,1029,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,就这样过了几年，我还是想逃了。,0
,0,1030,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,我小姑姑看见这个样子，就把我拜托给您的父母那边了。,0
,0,1031,0,0,0,CatD,4,0,0,0,0,4,我,······,0
,0,1032,0,0,0,CatD,4,0,0,0,0,4,我,我······那个······,0
,0,1033,0,0,0,CatD,4,0,0,0,0,4,,一时间不知道该说什么好。,0
,0,1034,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,抱歉店长先生，让你担心了。,0
,0,1035,0,0,0,Charother0,2,0,0,0,0,4,爱丽丝,爱丽丝，没问题的，大概吧。,0
,0,1036,0,0,0,0,0,0,0,0,0,4,,爱丽丝对我微微笑了一下，但很快脸色重新回到刚刚的样子。,0
,0,1037,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,那个，对不起店长先生，爱丽丝还是有些······难受，今天让我先休息一下吧。,0
,0,1038,0,0,0,CatD,4,0,0,0,0,4,我,啊，嗯，你就先休息吧，店里没问题的。,0
,0,1039,0,0,0,0,0,0,0,0,0,4,,爱丽丝回到楼上，桌上只留下了几乎没喝的咖啡杯。,0
,0,1040,0,0,0,0,0,0,0,0,0,4,我,不行，得做点什么。,0
,0,1041,0,0,0,0,0,0,0,0,0,4,,这时，店门再一次被打开。,0
,0,1042,0,0,0,0,0,0,0,0,0,4,我,您好，欢迎光······原来是贝贝和学姐啊。,0
,0,1043,NPC,0,0,0,0,0,dog,0,0,4,露希尔,怎么，我们俩就不欢迎了？,0
,0,1044,NPC,0,0,0,0,0,dog,1,0,4,贝贝,就是就是，怎么还区别对待啊！,0
,0,1045,NPC,0,0,0,0,0,dog,0,0,4,我,所以说，你又把课翘了来我这里了？,0
,0,1046,NPC,0,0,0,0,0,dog1,1,0,4,贝贝,哼！都已经暑假啦，你不上学了之后就过糊涂了？,0
,0,1047,NPC,0,0,0,0,0,dog1,1,0,4,我,这么一说，确实最近店里学生来的越来越多了，我都没注意。,0
,0,1048,NPC,0,0,0,0,0,dog,0,0,4,露希尔,行了行了，你俩又拌嘴。,0
,0,1049,NPC,0,0,0,0,0,dog,0,0,4,露希尔,今天店里出了点状况，找人来修了，说是线还是什么的坏掉了，要修一整天，我索性今天放个假。,0
,0,1050,NPC,0,0,0,0,0,dog,0,0,4,露希尔,正好贝贝出门来我这里，一想干脆来你这好了。,0
,0,1051,NPC,0,0,0,0,0,dog,2,0,4,贝贝,诶，小爱丽丝呢？,0
,0,1052,NPC,0,0,0,0,0,dog,2,0,4,露希尔,这么一说，确实今天没看到她人啊，去哪里了吗？,0
,0,1053,NPC,0,0,0,0,0,dog,2,0,4,我,啊，嗯。,0
,0,1054,NPC,0,0,0,0,0,dog,2,0,4,我,唉，跟你俩说了吧，只有我自己还是不行。,0
,0,1055,NPC,0,0,0,0,0,dog,2,0,4,我,昨天晚上，爱丽丝的父亲来了。,0
,0,1056,NPC,0,0,0,0,0,dog,3,0,4,贝贝,啊？就她那个颓废老爹嘛？怎么这个时候想起爱丽丝来了？,0
,0,1057,NPC,0,0,0,0,0,dog,3,0,4,我,是啊······等会，你怎么知道是颓废老爹的？,0
,0,1058,NPC,0,0,0,0,0,dog,1,0,4,贝贝,不要小看女高中生！交际圈很广的哦。,0
,0,1059,NPC,0,0,0,0,0,dog,0,0,4,贝贝,说是这么说，只是碰巧朋友的表妹之前认识爱丽丝而已。,0
,0,1060,NPC,0,0,0,0,0,dog,0,0,4,露希尔,所以呢，这样的人怎么突然来找爱丽丝了？,0
,0,1061,NPC,0,0,0,0,0,dog,0,0,4,我,我也不知道，但他自己说自己看明白了，说自己这错那错的，总之讲了不少。,0
,0,1062,NPC,0,0,0,0,0,dog,0,0,4,我,他来的时候已经是半夜了，正巧爱丽丝下楼，就看见了。,0
