#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_03_02_morning,,,,,,,,,,,
,4,1000,0,0,0,0,0,0,0,0,0,0,0,BGM/maou_bgm_acoustic52,0
,2,1001,0,0,0,0,0,0,0,0,0,0,0,Morning,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,翌日清晨。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,我起来开始营业，但平日里总是比我早的爱丽丝，却完全不见踪影。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,应该还在房间里吧。,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,昨晚科恩临走前，给我留下了他的联系方式，希望等爱丽丝情绪安定些之后还能联系他。,0
,0,1006,0,0,0,0,0,0,0,0,0,4,,在送走了科恩之后，我上楼敲响爱丽丝的房门。,0
,0,1007,0,0,0,0,0,0,0,0,0,4,,但无论怎样，门后都没有要打开的迹象，几次过后我便放弃了。,0
,0,1008,0,0,0,0,0,0,0,0,0,4,,看来情况比想象中还要严重。,0
,0,1009,0,0,0,0,0,0,0,0,0,4,,在我还在合计这些事情的时候，门开了。,0
,0,1010,0,0,0,NPC2,0,0,0,0,0,4,我,“啊，塔克叔来了啊，还是这么早。”,0
,0,1011,0,0,0,NPC2,0,0,0,0,0,4,塔克,“早啊，店长。还是老样子。”,0
