#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_03_03_Midnight,,,,,,,,,,,
,4,1000,0,0,0,0,0,0,0,0,0,0,0,BGM/waves_piano_bgm,0
,2,1001,0,0,0,0,0,0,0,0,0,0,0,Midnight,0
,0,1002,0,0,0,0,0,0,0,0,0,4,我,爱丽丝？睡了吗？,0
,0,1003,0,0,0,0,0,0,0,0,0,4,爱丽丝,······还没有。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,爱丽丝,店长先生，怎么了吗？,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,虽然得到了回应，但我们始终还是隔着门在对话。,0
,0,1006,0,0,0,0,0,0,0,0,0,4,我,那个，想和你聊聊潮汐节的打算呐。,0
,0,1007,0,0,0,0,0,0,0,0,0,4,我,我是很希望爱丽丝能打起精神来。,0
,0,1008,0,0,0,0,0,0,0,0,0,4,我,所以说，那个······,0
,0,1009,0,0,0,0,0,0,0,0,0,4,我,爱丽丝，能来帮我一个忙吗？,0
,0,1010,0,0,0,CatD,3,0,0,0,0,4,爱丽丝,那个，店长先生······爱丽丝现在，可能有些······,0
,0,1011,0,0,0,CatD,3,0,0,0,0,4,我,听我说呐，爱丽丝，要不要来演奏小提琴？,0
,0,1012,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,诶？,0
,0,1013,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,店长先生······怎么会知道？,0
,0,1014,0,0,0,CatD,2,0,0,0,0,4,我,嘛，发生了各种各样的事情，总之就是知道了······,0
,0,1015,0,0,0,CatD,2,0,0,0,0,4,我,总之，我希望爱丽丝到时候能在祭典晚会上给他们露一手，毕竟镇上的人也没怎么见过这些。,0
,0,1016,0,0,0,CatD,2,0,0,0,0,4,我,而且，我也希望爱丽丝能打起精神。,0
,0,1017,0,0,0,CatD,4,0,0,0,0,4,我,塔克叔跟我说，难过的时候，尝试一下自己最喜欢的事物能缓解很多。,0
,0,1018,0,0,0,CatD,4,0,0,0,0,4,我,所以说，来演奏吧。,0
,0,1019,0,0,0,CatD,4,0,0,0,0,4,我,烦心事什么的让他们见鬼去吧，然后，再一次笑出来吧！,0
,0,1020,0,0,0,CatD,4,0,0,0,0,4,我,爱丽丝的话，肯定没问题的！,0
,0,1021,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,店长先生······,0
,0,1022,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,爱丽丝，已经很久没拉过小提琴了哦?,0
,0,1023,0,0,0,CatD,2,0,0,0,0,4,我,怕什么，爱丽丝肯定行的。,0
,0,1024,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,而且，爱丽丝现在······,0
,0,1025,0,0,0,CatD,2,0,0,0,0,4,我,我们还准备了超棒的礼服哦！？你穿上一定很好看的。,0
,0,1026,0,0,0,CatD,2,0,0,0,0,4,我,······好么？,0
,0,1027,0,0,0,CatD,2,0,0,0,0,4,爱丽丝,······,0
,0,1028,0,0,0,CatD,4,0,0,0,0,4,爱丽丝,······,0
,0,1029,0,0,0,CatD,5,0,0,0,0,4,爱丽丝,······好的。,0
,0,1030,0,0,0,0,0,0,0,0,0,4,,随后，房间的门突然打开，如同往常一样的爱丽丝站在门边。,0
,0,1031,0,0,0,0,0,0,0,0,0,4,,抬头看着我。,0
,0,1032,0,0,0,CatD,1,0,0,0,0,4,爱丽丝,谢谢······店长先生。,0
,0,1033,0,0,0,CatD,5,1,0,0,0,4,爱丽丝,爱丽丝，会努力的。,0
,0,1034,0,0,0,CatD,0,0,0,0,0,4,,浅浅一笑。,0
,6,1035,0,0,0,0,0,0,0,0,0,0,0,EndGame,0
