#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_06_RentF,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,BadEnding,0
,0,1001,0,0,0,0,0,0,0,0,0,4,,雨夜,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,我没能负担得起债务,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,咖啡馆被迫关停了,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,店铺被接下来一系列的合同给取走、没收,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,我回到了曾经一穷二白的地步,0
,0,1006,0,0,0,0,0,0,0,0,0,4,,而由于无法照顾爱丽丝,0
,0,1007,0,0,0,0,0,0,0,0,0,4,,她被我爸妈重新接了回去,0
,0,1008,0,0,0,0,0,0,0,0,0,4,,我也没见到她最后一面,0
,0,1009,0,0,0,0,0,0,0,0,0,4,,又得从一无所有的情况下开始了,0
,0,1010,0,0,0,0,0,0,0,0,0,4,,接下来要干什么呢？,0
,0,1011,0,0,0,0,0,0,0,0,0,4,,我看着曾为咖啡馆的建筑喃喃道,0
,0,1012,0,0,0,0,0,0,0,0,0,4,,结局：雨夜,0
