#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_ForeForest,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Afternoon,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,朝。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,「ピルルルル……。」,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,カフェの電話が鳴り響いた。,0
,0,1005,0,0,0,NPC,0,0,0,0,0,4,ルシール,「もしもし、店長です。」,0
,0,1006,0,0,0,NPC,0,0,0,0,0,4,店長,「もしもし、ルル姐よ。元気？」,0
,0,1007,0,0,0,NPC,0,0,0,0,0,4,店長,「何か用事ですか？」,0
,0,1008,0,0,0,NPC,0,0,0,0,0,4,ルシール,「用事ってほどじゃないけどさ、私たち三人でどこかに出かけない？昔行ったあの場所で、午後くらいにちょっと懐かしい話でもしようかなって。」,0
,0,1009,0,0,0,NPC,0,0,0,0,0,4,店長,「その場所って……まさか、花畑？」,0
,0,1010,0,0,0,NPC,0,0,0,0,0,4,ルシール,「正解～。」,0
,0,1011,0,0,0,NPC,0,0,0,0,0,4,ルシール,「ベイベイは？最近忙しいんじゃないの？」,0
,0,1012,0,0,0,NPC,0,0,0,0,0,4,ルシール,「聞いてみたけど、ベイベイは行けないって。」,0
,0,1013,0,0,0,NPC,0,0,0,0,0,4,店長,「え？じゃあ、三人って？」,0
,0,1014,0,0,0,NPC,0,0,0,0,0,4,ルシール,「私、君、それからアリス。」,0
,0,1015,0,0,0,NPC,0,0,0,0,0,4,ルシール,「アリス？それはちょっと……あそこは私たちの場所だったから。」,0
,0,1016,0,0,0,NPC,0,0,0,0,0,4,ルシール,「何が悪いのよ。彼女のこと、もっと知るチャンスじゃない。」,0
,0,1017,0,0,0,NPC,0,0,0,0,0,4,店長,「……分かった。あんまり大げさなことはしないでくれよ。」,0
,0,1018,0,0,0,NPC,0,0,0,0,0,4,ルシール,「じゃ決だね！」,0
