#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_ForeSea,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,4,0,Afternoon,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,某天早上，开业前,0
,0,1003,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,潮汐镇，为什么会以潮汐为名字呢,0
,0,1004,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,爱丽丝坐在吧台长椅上，看着书，发出了疑问,0
,0,1005,0,0,0,CatM,0,0,0,0,0,4,我,大海，因为潮汐镇的大海,0
,0,1006,0,0,0,0,0,0,0,0,0,4,我,潮汐镇的大海不同于其他地方的大海,0
,0,1007,0,0,0,0,0,0,0,0,0,4,我,她很温和,0
,0,1008,0,0,0,0,0,0,0,0,0,4,我,历史上潮汐镇的大海几乎旱涝保收,0
,0,1009,0,0,0,0,0,0,0,0,0,4,我,历史上也没有发生过大灾害,0
,0,1010,0,0,0,0,0,0,0,0,0,4,我,甚至给予了当时小镇镇民许多意外的惊喜,0
,0,1011,0,0,0,0,0,0,0,0,0,4,我,于是就给镇子起了潮汐镇这个名字,0
,0,1012,0,0,0,0,0,0,0,0,0,4,,我向爱丽丝讲述着镇中老人们，经常讲起的历史,0
,0,1013,0,0,0,0,0,0,0,0,0,4,,爱丽丝似乎听得很认真的样子,0
,0,1014,0,0,0,0,0,0,0,0,0,4,,要不，再讲一点？,0
,0,1015,0,0,0,0,0,0,0,0,0,4,我,其实，有关镇子的大海，一直有个传说,0
,0,1016,0,0,0,0,0,0,0,0,0,4,我,要听吗,0
,0,1017,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,要,0
,0,1018,0,0,0,CatM,0,0,0,0,0,4,,爱丽丝很认真的回答了,0
,3,1019,0,0,0,0,0,0,0,0,0,0,,......,0
,2,1020,0,0,0,0,0,0,0,0,0,0,0,Sea,0
,4,1021,0,0,0,0,0,0,0,0,0,0,0,BGM/waves_bgm,0
,0,1022,0,0,0,0,0,0,0,0,0,4,,曾经，潮汐镇的这片大海，凶恶无比,0
,0,1023,0,0,0,0,0,0,0,0,0,4,,有一天，一队渔民出海打渔,0
,0,1024,0,0,0,0,0,0,0,0,0,4,,出海的时候，遇到了狂风暴雨,0
,0,1025,0,0,0,0,0,0,0,0,0,4,,就当大家以为要沉没时,0
,4,1026,0,0,0,0,0,0,0,0,0,0,,BGM/waves_piano_bgm,0
,0,1027,0,0,0,0,0,0,0,0,0,4,,突然从水下出现了一条鲸鱼,0
,0,1028,0,0,0,0,0,0,0,0,0,4,,鲸鱼一出现，暴风雨就停息了，渔民们得以生还,0
,0,1029,0,0,0,0,0,0,0,0,0,4,,而当渔民们靠近鲸鱼后，鲸鱼居然说话了,0
,0,1030,0,0,0,0,0,0,0,0,0,4,,她委托一对渔民夫妇，抚养一个被她驮在背上的孩子，并给予了一大笔抚养费,0
,0,1031,0,0,0,0,0,0,0,0,0,4,,那对渔民夫妇回到镇子后，便将那个孩子抚养长大,0
,0,1032,0,0,0,0,0,0,0,0,0,4,,某一天，长大的孩子对父母说，为了报答养育，她要平定这片汹涌的大海，给镇子带来安宁,0
,0,1033,0,0,0,0,0,0,0,0,0,4,,于是，这个孩子便孤身一人出海了,0
,0,1034,0,0,0,0,0,0,0,0,0,4,,随后几天，海上不断传来好像是搏斗的声音,0
,0,1035,0,0,0,0,0,0,0,0,0,4,,没过多久，风暴便平息了，取而代之的,0
,0,1036,0,0,0,0,0,0,0,0,0,4,,是永恒不变的温暖海浪，和柔和波涛,0
,0,1037,0,0,0,0,0,0,0,0,0,4,,而那个孩子呢，在短暂的回到了镇子后，便去往了大海,0
,0,1038,0,0,0,0,0,0,0,0,0,4,,据说是因为打败了海中巨兽，最后被升格成为女神呢！,0
,0,1039,0,0,0,0,0,0,0,0,0,4,,......,0
,2,1040,0,0,0,0,0,0,0,0,0,4,0,Afternoon,0
,4,1041,0,0,0,0,0,0,0,0,0,4,0,BGM/afternoon_bgm,0
,0,1042,0,0,0,0,0,0,0,0,0,4,我,总之，现在镇子上还有许多人相信着,0
,0,1043,0,0,0,0,0,0,0,0,0,4,我,这个小镇，有着女神的庇护，是在女神的庇护下，镇子才迎来了繁荣.......,0
,0,1044,0,0,0,0,0,0,0,0,0,4,爱丽丝,爱丽丝？,0
,0,1045,0,0,0,CatM,4,0,0,0,0,4,爱丽丝,爱丽丝听着听着，低下了头，似乎在思索着什么,0
,0,1046,0,0,0,CatM,4,0,0,0,0,4,爱丽丝,.......店长......,0
,0,1047,0,0,0,CatM,1,1,0,0,0,4,爱丽丝,不一会，爱丽丝抬起了头,0
,0,1048,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,我们一起去看大海吧,0
,0,1049,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,可以啊，怎么突然想去看海了,0
,0,1050,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,没有呀，只是想和店长一起去而已,0
,0,1051,0,0,0,CatM,0,0,0,0,0,4,爱丽丝,好吧好吧，我找个时间，咱们下班后去吧,0
