#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_02_01_afternoon,,,,,,,,,,,
,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1001,0,0,0,0,0,0,0,0,0,4,贝贝,今天怎么约在这边见面啊，老远了。,0
,0,1002,0,0,0,0,0,0,0,0,0,4,露希尔,偶尔，也来看看花嘛，而且这风景，我想爱丽丝也会喜欢。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,贝贝,露希尔姐姐，风景是好看，但是爱丽丝真的走的要虚脱了。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,贝,哈哈哈，偶尔也要这么拉练一次，整天待在店里，尾巴会发霉的哦。,0
,0,1005,0,0,0,0,0,0,0,0,0,4,我,（爱丽丝吓得赶紧看自己的尾巴）,0
,0,1006,0,0,0,0,0,0,0,0,0,4,我,玩笑话而已啦，爱丽丝别当真嘛。,0
,0,1007,0,0,0,0,0,0,0,0,0,4,贝贝,露姐就知道忽悠小孩……,0
,0,1008,0,0,0,0,0,0,0,0,0,4,我,胡说什么，我看你最近是皮痒了。,0
,0,1009,0,0,0,0,0,0,0,0,0,4,我,露希尔姐姐，那片花田感觉好不一样！,0
,0,1010,0,0,0,0,0,0,0,0,0,4,贝贝,还是小孩子进入状态快……,0
,0,1011,0,0,0,0,0,0,0,0,0,4,爱丽丝,哦哦，那片花田啊，可有着一个故事呢，爱丽丝想听吗？,0
,0,1012,0,0,0,0,0,0,0,0,0,4,我,爱丽丝想听！,0
,0,1013,0,0,0,0,0,0,0,0,0,4,露希尔,等下，露姐！这不会是……,0
,0,1014,0,0,0,0,0,0,0,0,0,4,露希尔,既然爱丽丝想听，那我讲喽。,0
,0,1015,0,0,0,0,0,0,0,0,0,4,爱丽丝,原先这片地的主人离开了小镇，因此这里也就荒废了。,0
,0,1016,0,0,0,0,0,0,0,0,0,4,,后来一群年轻人见无人使用，就将这里做成了花圃。,0
,0,1017,0,0,0,0,0,0,0,0,0,4,爱丽丝,各色样式的花，在麦田间形成了一道独特的风景线，不知不觉，就成了大伙闲游的好去处。,0
,0,1018,0,0,0,0,0,0,0,0,0,4,我,爱丽丝也想有这样可以一起种花的朋友！,0
,0,1019,0,0,0,0,0,0,0,0,0,4,我,嗯嗯，每个人都会有几个超好的朋友的。,0
,0,1020,0,0,0,0,0,0,0,0,0,4,露,……,0
,0,1021,0,0,0,0,0,0,0,0,0,4,爱丽丝,但是，爱丽丝……,0
,0,1022,0,0,0,0,0,0,0,0,0,4,我,哎呀哎呀，只是时候没到而已啦，爱丽丝不要担心啦。,0
,0,1023,0,0,0,0,0,0,0,0,0,4,露希尔,那爱丽丝就先相信露希尔姐姐的话了！,0
,0,1024,0,0,0,0,0,0,0,0,0,4,露希尔,好好，我继续讲故事喽。,0
,0,1025,0,0,0,0,0,0,0,0,0,4,露希尔,这帮小伙伴后来就一直在这里种些花花草草，这也成了他们彼此之间的重要联系。,0
,0,1026,0,0,0,0,0,0,0,0,0,4,露希尔,直到……,0
,0,1027,0,0,0,0,0,0,0,0,0,4,露希尔,直到什么呢？,0
,0,1028,0,0,0,0,0,0,0,0,0,4,我,直到他们一个个走出小镇，前往大城市……随着小镇上伙伴们的减少，这里也越来越冷清。,0
,0,1029,0,0,0,0,0,0,0,0,0,4,爱丽丝,但是花田到现在也很美丽啊。,0
,0,1030,0,0,0,0,0,0,0,0,0,4,爱丽丝,嗯嗯，那是因为，有离开者，就有归来者。,0
,0,1031,0,0,0,0,0,0,0,0,0,4,爱丽丝,一些小伙伴从大城市回来了，就重新经管起这片花田。,0
,0,1032,0,0,0,0,0,0,0,0,0,4,爱丽丝,毕竟这是他们一同努力，挥洒过汗水的土地，也是促使他们许下心愿的宝地。,0
,0,1033,0,0,0,0,0,0,0,0,0,4,我,心愿……,0
,0,1034,0,0,0,0,0,0,0,0,0,4,我,就像种下的花总有一天会开放，大伙也相信许下的心愿总有一天会实现。,0
,0,1035,0,0,0,0,0,0,0,0,0,4,我,那后来呢。,0
,0,1036,0,0,0,0,0,0,0,0,0,4,我,花朵是如期开放，心愿嘛……也都慢慢实现了，,0
,0,1037,0,0,0,0,0,0,0,0,0,4,我,当然，也有些愿望还在孕育，等待那个可以让他绽放的时机。,0
,0,1038,0,0,0,0,0,0,0,0,0,4,我,露姐你……回来后一直在为这片花田操心吗……,0
,0,1039,0,0,0,0,0,0,0,0,0,4,我,才发现吗，哦，对哦，毕竟你是一次都没来过……,0
,0,1040,0,0,0,0,0,0,0,0,0,4,我,我以为……已经荒废了……,0
,0,1041,0,0,0,0,0,0,0,0,0,4,我,所以说，店长当年也是其中……,0
,0,1042,0,0,0,0,0,0,0,0,0,4,我,爱丽丝，有些话不要说的太明白啦，有些人会不好意思的。,0
,0,1043,0,0,0,0,0,0,0,0,0,4,我,为什么呢，爱丽丝觉得当年的大伙都很厉害诶。,0
,0,1044,0,0,0,0,0,0,0,0,0,4,我,！,0
,0,1045,0,0,0,0,0,0,0,0,0,4,我,哼哼，那是当然，毕竟有梦想谁都了不起嘛。,0
,0,1046,0,0,0,0,0,0,0,0,0,4,我,话说回来，爱丽丝有兴趣一起来种花吗，也可以种些别的。,0
,0,1047,0,0,0,0,0,0,0,0,0,4,我,好呀好呀，爱丽丝也想试试自己能培育出什么样的花朵呢。,0
,0,1048,0,0,0,0,0,0,0,0,0,4,我,好耶，终于，终于不用一个人了……好感动，爱丽丝最好了。,0
,0,1049,0,0,0,0,0,0,0,0,0,4,我,露姐，别在小孩子面前发癫好嘛……,0
,0,1050,0,0,0,0,0,0,0,0,0,4,我,你这木头脑袋！闭嘴！,0
