#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_02_01_afternoon,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Market,0
,0,1001,0,0,0,0,0,0,0,0,0,4,贝贝,清晨，阳光洒在咖啡馆门前,0
,0,1002,0,0,0,0,0,0,0,0,0,4,露希尔,爱丽丝正在进行着清洁作业,0
,0,1003,0,0,0,0,0,0,0,0,0,4,贝贝,距离爱丽丝来到咖啡馆已经过去了一段时间了呀,0
,0,1004,0,0,0,0,0,0,0,0,0,4,贝,爱丽丝... 现在是越来越上手了呀,0
,0,1005,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1006,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1007,0,0,0,0,0,0,0,0,0,4,贝贝,,0
,0,1008,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1009,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1010,0,0,0,0,0,0,0,0,0,4,贝贝,,0
,0,1011,0,0,0,0,0,0,0,0,0,4,爱丽丝,,0
,0,1012,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1013,0,0,0,0,0,0,0,0,0,4,露希尔,,0
,0,1014,0,0,0,0,0,0,0,0,0,4,露希尔,,0
,0,1015,0,0,0,0,0,0,0,0,0,4,爱丽丝,,0
,0,1016,0,0,0,0,0,0,0,0,0,4,,,0
,0,1017,0,0,0,0,0,0,0,0,0,4,爱丽丝,,0
,0,1018,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1019,0,0,0,0,0,0,0,0,0,4,我,,0
,0,1020,0,0,0,0,0,0,0,0,0,4,露,,0
,0,1021,0,0,0,0,0,0,0,0,0,4,爱丽丝,,0
,0,1022,0,0,0,0,0,0,0,0,0,4,我,,0
