#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_SeaSecond,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,beach,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/waves_bgm,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,上次来看海，是多久之前了呢,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,好像是好几年前了吧,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,在上大学之前,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,和露希尔学姐一起过来的时候,0
,0,1006,0,0,0,0,0,0,0,0,0,4,,只是这次，和我一起过来的，是一个小女孩,0
,5,1007,0,0,0,0,0,0,Trust_2,0,1,0,0,Family100N,0
,0,1008,0,0,0,0,0,0,0,0,0,4,爱丽丝,好舒服......（小声）,0
,0,1009,0,0,0,0,0,0,0,0,0,4,爱丽丝,爱丽丝小声地嘀咕着,0
,0,1010,0,0,0,0,0,0,0,0,0,4,我,这个地方，是我以前就经常来的,0
,0,1011,0,0,0,CatD,0,0,0,0,0,4,爱丽丝,店长以前经常来吗,0
,0,1012,0,0,0,CatD,0,0,0,0,0,4,我,是啊，跟你露露姐一起来的，还有你贝贝姐,0
,0,1013,0,0,0,CatD,0,0,0,0,0,4,我,那时候，你贝贝姐还算是个小屁孩呢,0
,0,1014,0,0,0,CatD,1,2,0,0,0,4,爱丽丝,噗......,0
,0,1015,0,0,0,CatD,1,0,0,0,0,4,爱丽丝,店长跟贝贝姐的关系真好呀,0
,0,1016,0,0,0,CatD,1,0,0,0,0,4,,爱丽丝笑着看向我，头发随风飘扬,0
,0,1017,0,0,0,CatD,1,0,0,0,0,4,,我无奈地耸了耸肩,0
,0,1018,0,0,0,CatD,1,0,0,0,0,4,我,是啊，挺好的，以前就是雌小鬼一个,0
,0,1019,0,0,0,0,0,0,0,0,0,4,,说完，我的视线望向远方,0
,0,1020,0,0,0,0,0,0,0,0,0,4,,海浪轻轻拍打着沙滩,0
,0,1021,0,0,0,0,0,0,0,0,0,4,,海风温柔地摩挲着我的脸庞,0
,0,1022,0,0,0,0,0,0,0,0,0,4,,我坐在观景台上，打了几个哈欠,0
,0,1023,0,0,0,0,0,0,0,0,0,4,,在昏昏欲睡中，仿佛听到一个声音再说,0
,3,1024,0,0,0,0,0,0,0,0,0,4,,“好希望这一切能够永远持续下去”,0
