#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_Shopstreet,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Market,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/maou_bgm_acoustic52,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,数日前のこと,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,「最近、商店街でイベントがあるんだけど、君とアリスも行ってみない？」,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,「大都市でよくある遊園会みたいなもので、スタンプを集めて抽選すると大賞が当たるかもらしいよ。」,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,ルシルはそんな話をしていた。,0
,0,1006,0,0,0,0,0,0,0,0,0,4,,そこで俺とアリスは商店街へ向かった。,0
,0,1007,0,0,0,0,0,0,0,0,0,4,,「こんなに人がいるんだな……。」,0
,0,1008,0,0,0,0,0,0,0,0,0,4,,「でも、大学時代のイベントに比べたらまだまだだ。」,0
,5,1009,0,0,0,0,0,0,Trust_1,0,1,0,,Trust100N,0
,0,1010,0,0,0,0,0,0,0,0,0,4,アリス,「店長！あっちで新しいイベントをやってるみたいです！」,0
,0,1011,0,0,0,0,0,0,0,0,0,4,,アリスは片手に綿菓子を持ちながら手を振り、俺を呼んだ。,0
,0,1012,0,0,0,0,0,0,0,0,0,4,,「やっぱり子供らしいな。」,0
,0,1013,0,0,0,0,0,0,0,0,0,4,,「こんなどころで興奮しで、当たり前じゃ。」,0
,0,1014,0,0,0,0,0,0,0,0,0,4,,「よし、じゃあ行ってみようか。思いっきり楽しもう！」,0
,0,1015,0,0,0,0,0,0,0,0,0,4,,「……」,0
,2,1016,0,0,0,0,0,0,0,1,2,0,0,Market,0
,4,1017,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,0,1018,0,0,0,0,0,0,0,0,0,4,,「はぁ……さっき明らかに当たったのに、あのぬいぐるみ、全然倒れないじゃないか。」,0
,0,1019,NPC,0,0,0,0,0,0,0,0,4,ルシール,「もしかして、あのぬいぐるみ、大きすぎるんじゃない？」,0
,0,1020,NPC,0,0,0,0,0,0,0,0,4,店長,「……学姐？」,0
,0,1021,NPC,0,0,0,0,0,0,0,0,4,店長,「どうしてここに？」,0
,0,1022,NPC,0,0,0,0,0,CatD,0,1,4,アリス,「ルシルお姉さん？」,0
,0,1023,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「君たちが商店街に入った時から見てたよ。」,0
,0,1024,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「最初からずっとね。」,0
,0,1025,NPC,0,0,0,0,0,CatD,0,0,4,店長,「自分の屋台は見なくていいの？確か、今日は屋台があったはずだけど。」,0
,0,1026,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「大丈夫、友達に手伝ってもらってるから。」,0
,0,1027,NPC,0,0,0,0,0,CatD,0,0,4,店長,「……たぶん、ベベだろ？」,0
,0,1028,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「その通り。こんな優秀な働き手、使わない手はないわ。安くて頼れるからね。」,0
,0,1029,NPC,0,0,0,0,0,CatD,0,0,4,,「かわいそうに。大学時代、サークルでただ働きしてた日々を思い出すよ……。」,0
,0,1030,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「可哀想がる必要ないわよ。ちゃんとお礼はしてるから。」,0
,0,1031,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「まぁ、そんな話はさておき……。今、スタンプはどのくらい集まったの？」,0
,0,1032,NPC,0,0,0,0,0,CatD,0,0,4,店長,「これを見て。」,0
,0,1033,NPC,0,0,0,0,0,CatD,0,0,4,ルシール,「すごいじゃない！全部集まったのね。これであっちで抽選できるわよ。」,0
,0,1034,NPC,0,0,0,0,0,CatD,0,0,4,,私はルシルから手渡されたスタンプカードを受け取り、軽く睨むように見た。,0
,0,1035,NPC,0,0,0,0,0,CatD,0,0,4,店長,「どうしてこんな時だけ私たちに気を使うんだ？もしかして、何か欲しいものがあるの？」,0
