#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_Unsleep,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,MidNight,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/maou_bgm_piano40,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,夜の12時。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,明日のカフェの準備を全て終え、ようやくベッドに横たわる。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,S市から持ってきたSF小説を手に取り、ページをめくっていると――,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,コンコンコン,0
,0,1006,0,0,0,0,0,0,0,0,0,4,アリス,「店長、まだ起きていますか？」,0
,0,1007,0,0,0,0,0,0,0,0,0,4,店長,「起きてるよ、どうした？」,0
,0,1008,0,0,0,0,0,0,0,0,0,4,アリス,「ちょっと眠れなくて……」,0
,0,1009,0,0,0,0,0,0,0,0,0,4,,「眠れないのか……」,1010-1011
,1,1010,0,0,0,0,0,0,0,0,0,4,,1. 部屋に入れる,1012
,1,1011,0,0,0,0,0,0,0,0,0,4,,2. 適当な理由をつけて返す,1013
#,后续1,,,,,,,,,,,,,,0
,0,1012,0,0,0,0,0,0,0,0,0,4,,「入っていいよ。」,1020
#,后续2,,,,,,,,,,,,,,0
,0,1013,0,0,0,0,0,0,0,0,0,4,店長,「えっと……アイリス、今ちょっと都合が悪いんだ。」,0
,0,1014,0,0,0,0,0,0,0,0,0,4,アリス,「都合が悪い？店長、何か問題でも？」,0
,0,1015,0,0,0,0,0,0,0,0,0,4,アリス,「あ、えん、ま……」,0
,0,1016,0,0,0,0,0,0,0,0,0,4,店長,「いや、特に問題ってわけじゃない。」,0
,0,1017,0,0,0,0,0,0,0,0,0,4,アリス,「店長？」,0
,0,1018,0,0,0,0,0,0,0,0,0,4,,アイリスが心配そうな顔を見せる。,0
,0,1019,0,0,0,0,0,0,0,0,0,4,,はぁ……何も思いつかない。もういい、入ってもらおう。,1020
#,后续,,,,,,,,,,,,,,0
,0,1020,0,0,0,CatS,4,0,0,0,0,4,,二人でベッドの上に座る。程よい距離感がなんとも気まずい。,0
,0,1021,0,0,0,CatS,4,0,0,0,0,4,,ちょっと気まずい雰囲気。,0
,0,1022,0,0,0,CatS,4,0,0,0,0,4,,「ちょっと飲み物を持ってくるよ。」,0
,0,1023,0,0,0,CatS,4,0,0,0,0,4,,数分後、ホットミルクを二杯持ってアイリスの隣に戻る。,0
,0,1024,0,0,0,CatS,3,0,0,0,0,4,,数分間の沈黙の後、アイリスがぽつりと口を開いた。,0
,0,1025,0,0,0,CatS,2,0,0,0,0,4,アリス,「店長……ちょっと……怖いです……」,0
,0,1026,0,0,0,CatS,2,0,0,0,0,4,店長,「……家のこと？」,0
,0,1027,0,0,0,CatS,2,0,0,0,0,4,,「……」,0
,0,1028,0,0,0,CatS,2,0,0,0,0,4,,多分そうだろう。顔が青白くなっている。,0
,0,1029,0,0,0,CatS,2,0,0,0,0,4,店長,「その……私――？」,0
,0,1030,0,0,0,0,0,0,0,0,0,4,,突然、アイリスがこちらに身を寄せてくる。ほとんど抱きつくような格好だ。,0
,0,1031,0,0,0,0,0,0,0,0,0,4,店長,「アイリス？」,0
,0,1032,0,0,0,0,0,0,0,0,0,4,アリス,「店長、こうして……少しだけ寄りかからせてもらってもいいですか？」,0
,0,1033,0,0,0,0,0,0,0,0,0,4,,「わかったよ……」,0
,0,1034,0,0,0,0,0,0,0,0,0,4,,なんとも言えない気分だ。まだ子どもなのに……。,0
,0,1035,0,0,0,0,0,0,0,0,0,4,,「……？」,0
,0,1036,0,0,0,0,0,0,0,0,0,4,店長,寝てしまったのだろうか。部屋に戻してあげよう。,0
,0,1037,0,0,0,0,0,0,0,0,0,4,,アイリスをそっと抱き上げ、予備の鍵で彼女の部屋のドアを開ける。,0
,0,1038,0,0,0,0,0,0,0,0,0,4,,ベッドに寝かせて、布団を掛ける。,0
,0,1039,0,0,0,0,0,0,0,0,0,4,,深い眠りについているアイリスを見下ろしながら、そっとドアを閉めた。,0
